GN	JK_S1_2_ERCC_S22	JK_S1_3_ERCC_S23	JK_S2_2_ERCC_S24	JK_S2_3_ERCC_S25	JK_A2_1_ERCC_S26	JK_A2_2_ERCC_S27	JK_A2_3_ERCC_S28	JK_A2_4_ERCC_S29	JK_A2_5_ERCC_S30	JK_A2_6_ERCC_S31
CALML5	50976.78608	30947.11731	28524.56039	50322.46628	8713.857758	14492.99276	16762.90874	15048.19104	15689.67638	8931.184236
HBA1	21234.1036	117614.6915	49959.92569	211539.8302	77002.21983	198891.7212	5317.038757	10298.41757	9468.66532	12589.68125
JAM3	123980.0834	111453.6285	76504.71477	75734.02977	33512.29008	32346.61794	33580.49137	31124.18252	29878.62926	28241.80638
NRN1	57766.54448	50208.42882	50910.14739	41332.96797	20425.23618	17026.68156	21525.32089	18218.66237	23396.46607	18825.84488
TRPC4	50065.21573	49132.24004	28027.31234	29388.43162	13252.59375	14156.82519	11451.78005	13537.26266	15512.00082	13072.63817
DNTT	86601.70901	98034.44593	71179.70083	81605.26224	29734.78724	31629.58827	27618.04269	31759.88134	30814.72121	29262.69533
SELENBP1	40335.60956	87453.90067	50172.60892	50117.93715	36117.83755	31126.39742	7331.125117	11011.28424	27870.98473	12603.60894
CD4	28836.0005	27310.93208	17629.35812	14738.42279	6243.587189	6714.063633	7476.63496	9123.958696	9560.898289	8703.784658
USP7	222267.5597	212871.6884	199769.0175	186860.8239	80658.9155	78022.24547	79951.89774	74108.54537	83372.00025	74275.58863
CSTA	143696.0379	155340.4219	92342.90588	285208.3847	58119.42311	95601.2582	100452.5638	83979.31823	65060.92039	61682.05669
KCTD12	35812.19852	31692.42761	38024.68186	33325.58027	18582.19966	16932.71847	17348.38402	15063.84958	19270.91223	16568.34953
PTPRK	33341.70785	33442.14449	25483.0432	25293.81245	12187.56284	10196.39358	12897.4928	13004.19382	12602.90572	13091.87369
SH3GL3	21605.91755	23531.86554	21964.97191	22954.76148	11220.40511	12967.42277	11228.85486	11177.92812	11714.10116	11257.55062
S100A7	65698.06568	45921.39568	39617.7137	41659.04921	19681.37574	26632.29616	35810.05668	23941.95553	25884.24841	12502.95348
KRT17	195530.8624	85596.48172	53078.59588	45736.82905	31986.61285	44739.61324	60400.79811	33664.62713	34026.84128	26603.48296
PDCD4	95179.24878	101210.1427	61682.18002	62389.93017	30916.45402	33543.03858	33315.20992	34207.99265	35558.71453	33220.49538
CD99	36307.42653	39192.41109	43185.37293	40825.09485	25863.89869	24369.08984	24512.61909	23854.17171	26264.50896	22578.02757
SEC14L3	29745.23644	71983.48272	25336.56025	37847.8617	30201.63586	21561.16941	8360.1386	7431.306865	20124.86171	10611.06279
MOCS1	99469.2919	97313.37769	83068.00575	84136.89117	44465.18451	44698.38746	45223.80328	42465.56535	43030.31843	41652.98953
PIP	30669.30954	30310.1864	17514.37136	26331.66521	9997.404782	18283.98212	25267.4525	12815.25866	14539.1989	7509.035764
DCD	659304.0986	694512.34	342698.2053	405034.3945	184134.5508	406122.6127	436566.8009	318723.2694	244141.482	200046.5845
MED11	102548.6266	80671.18202	80883.59841	61453.44682	73978.1754	63590.87326	55145.22214	34415.75335	35258.56679	28743.28691
IGJ	35126.64618	44566.76697	16869.85017	40136.33129	10901.83933	28283.21892	33464.56454	18077.22999	16031.70504	9947.986258
FYB	417692.5602	419038.1728	395504.2719	401545.7012	211185.1711	203348.0098	195551.3939	190655.2401	201348.8566	199629.8746
IGFBP2	167640.9558	166744.4872	156576.8271	154881.2357	77196.12606	85983.16523	80563.49708	87835.47981	84918.74312	88839.33453
RECK	100134.6477	84368.39763	95334.09976	100900.784	49602.30609	49975.92473	48054.3796	50695.25777	49381.35449	51557.99575
CHI3L2	12523.20173	10698.87926	10918.70828	11531.89116	6303.802459	5752.105369	6200.734934	6688.979001	6528.997832	5721.103595
GFRA1	33114.68549	33756.01622	33673.71214	28218.89289	16107.85412	16432.73718	16107.93848	17093.41307	16449.40942	17819.4517
PCMTD1	19621.8708	16664.14221	19573.14644	19491.78198	10204.63943	8504.159923	8443.648051	9791.998058	10215.82883	10357.75796
NDRG1	43773.79288	36583.94625	30887.03375	29974.80559	21705.23751	18248.23789	21704.9335	14990.31023	23605.27704	16814.15982
KRT14	116067.9782	53816.357	40720.59221	33112.97645	25121.55895	31261.7408	44974.25705	26074.60952	26587.9753	21166.00686
SNX9	54852.76228	54409.0503	44479.92527	45873.97975	24988.69199	24267.81157	25838.97665	26524.10672	26726.05923	26262.21573
CHCHD2P9	19065.78515	34562.52344	14738.32759	23825.96643	11226.1027	16824.35815	10672.29259	16868.63632	8291.691269	13813.08229
NKX3-1	16358.55778	15432.46519	16457.99959	18862.75341	9263.38479	7798.48039	9906.196495	11079.68456	8590.344801	9142.58129
POU3F3	75216.79373	55794.21483	73536.91741	59042.61395	40825.50131	28858.03474	38052.37353	29155.51717	39527.88503	30892.30915
TSHR	21316.66427	23426.14125	22278.41509	23049.83502	13058.66136	12686.50825	12798.36104	12144.85245	11255.04665	12340.71263
ACSL1	42010.99239	44241.93246	36968.97654	38459.87314	21748.08874	22121.77033	22496.67089	22256.10239	23277.02061	23013.22765
MME	7943.792891	10370.30247	7247.50884	11402.5555	5064.278483	4305.753777	4337.674085	4220.728399	5606.589812	4513.491316
CD9	19664.27691	21722.65468	19828.97447	22828.10799	12352.93229	14299.57674	12426.10285	15332.80485	12656.1715	15882.88448
PRSS3	96857.97514	47842.8469	47937.66749	68183.30367	20563.49538	26506.89239	34323.03202	37499.15674	38081.55584	37301.30573
CDSN	19595.46376	28217.67082	10921.49157	17742.1932	7295.976065	11252.11365	16834.48389	10097.44227	10084.30375	8986.539281
ZFP36L2	73394.67035	79634.64551	64213.58781	66724.22618	39235.20007	41078.80174	36363.00173	42170.98933	39825.94686	42960.13367
ALDH1A1	30655.53934	101859.5366	31924.79501	35481.64736	27531.15051	28220.58697	11393.70469	12884.33963	23010.36909	14966.30951
CHCHD2	70953.97226	61576.01025	53894.35266	47602.49874	32581.16128	32037.54395	35931.98332	29510.30231	33433.06882	29713.3814
IGHA1	45779.05147	54249.46254	24109.54914	49263.73654	18196.0653	32642.44699	46131.19201	21637.52589	25541.63165	14689.43496
HEMGN	16656.08029	17455.28672	14993.06193	14374.85024	7986.946523	6937.830132	8710.04682	8242.414349	7508.433135	7981.88048
ENDOD1	33440.79492	33104.95976	33148.21653	33829.41446	21013.29893	21117.61798	20557.47593	20861.46351	20604.94082	20104.00526
ALDH1A2	47840.38761	50513.19528	46384.30466	47265.75106	28597.07077	29373.02692	27370.82114	27422.5514	25405.84341	24346.55955
CST6	19454.57097	24221.50573	11782.34694	15707.0568	8240.3132	10826.64103	17397.24142	8130.641303	10704.30347	5259.009559
CD38	72924.3885	70438.0797	83914.92738	85144.33076	39994.23127	42244.01606	44317.78579	47714.63458	46629.54172	45326.08552
GAS2	12046.9647	12383.83704	16387.92185	17157.56514	12101.74138	11211.91285	9684.01718	9741.899191	9643.831228	11660.21912
AZGP1	33542.23936	28431.83935	20717.96401	22498.54343	12521.80651	21446.19035	22760.83073	16717.79518	13578.33409	10735.95824
TMSB10	339520.2238	393130.5402	530490.4163	391851.8514	247649.6094	246957.8567	239831.4403	231261.2464	251438.2676	254164.1928
EPHX2	60740.75894	65732.7352	52858.78925	52296.02805	31951.13455	29445.46675	29707.16006	31751.67033	32521.55648	34364.75264
PNPLA6	36717.04045	37409.40377	41164.50272	44606.07909	41546.26917	41265.20382	42769.60321	45636.49884	42710.04394	44117.60678
PDK1	99605.67738	101373.8537	74076.69576	74972.84953	48209.66957	50862.36805	48381.04068	52150.32922	51502.44913	53084.21994
S100A8	27685.58764	39272.17516	20140.15331	22675.35109	11501.03718	19773.19725	23913.63788	16940.22135	15038.62498	12639.55878
KDM4B	91360.45902	90104.17071	68724.43933	66016.82947	44497.07305	44496.2315	45328.14828	48695.2929	49728.19009	47530.53557
IGLL1	28312.65711	29812.59873	26572.07103	28883.39788	14985.72023	15555.10899	15333.3958	15804.06063	14413.03638	15502.73857
POLG	41979.23592	39935.18255	41468.57879	40399.88107	22229.33805	22845.72312	24327.33031	23494.50363	24170.17616	23387.6896
GSDMA	25382.3027	30790.38165	21364.04957	18925.82191	12487.86503	17990.93185	23589.93814	13005.37862	12201.05866	10662.56407
PFKFB4	20056.04982	23742.69771	14357.09972	19607.42664	10278.34213	12857.10021	9951.327477	12318.65574	10278.35607	12773.68503
KRT9	197610.002	145619.3103	141897.0999	124969.6606	72592.93055	87776.14699	175479.085	80207.4443	85035.86588	70571.15677
P4HA1	1037016.055	1103748.336	758174.8555	807133.6262	506865.6973	556304.568	511091.5964	580718.1921	539286.4622	578894.3171
SLC2A1	70004.77039	67061.81444	62117.64378	54142.70993	35405.99266	38355.91106	39339.05755	35999.48205	40265.68451	36838.63423
C1orf167	29927.1118	57417.594	103346.853	49048.49138	24494.13463	49854.88382	31742.18118	48033.22849	23456.49232	46792.86667
EML5	28308.90696	26840.23491	74110.23142	25480.62332	14719.83944	16837.8575	20730.94492	23206.23022	24788.56954	19740.39124
STAMBPL1	50072.65152	53046.44648	45305.95738	52232.77286	30608.82029	33494.36917	29825.49684	30960.94811	27710.81658	30117.38688
IL32	123341.2997	121486.358	104677.3099	100052.8293	68443.58995	67991.63514	70413.88649	73463.76598	70423.83394	69387.31907
MPI	38312.67082	35591.447	31555.17175	31985.8284	20707.51229	19816.34354	19706.40737	19806.21844	20755.76487	18502.44334
SEMA4A	48373.10005	43671.46431	42091.65357	37253.29399	22874.19544	25678.76519	23387.72388	22399.04435	25765.3073	25730.32794
CCDC61	20335.62366	24805.03222	20421.81027	23536.81557	10132.0186	12389.31678	13636.12716	13689.44787	13141.91181	14385.7323
DPYD	111115.0782	115318.3572	113308.634	115998.343	74686.69191	74421.29262	71103.72072	75041.04219	71954.00679	73976.08281
SV2A	48149.09064	55491.35019	48953.41191	52084.24387	27702.83233	30084.4437	26967.68171	30758.24518	27941.82656	30198.55513
PIGR	28071.80211	39346.66288	15243.37852	39529.64427	12066.56427	26359.91955	29599.23216	19448.59322	17150.82524	12884.03197
BNIP3L	34290.66985	32789.04735	26961.48293	28257.06746	18460.52459	17000.36431	17058.56294	18747.25597	18293.19424	18871.91025
SLC6A6	41363.02492	36534.36226	43778.18581	42131.16524	27415.38305	26197.99618	22883.75933	20387.54114	24495.4678	19440.71162
TK1	59864.50149	61537.14355	45017.69175	42541.89876	27872.55834	26425.62992	28190.58784	28997.24848	32716.1127	29735.65068
ABCG1	16917.92706	19497.60913	16458.99734	19583.94553	8671.004395	11295.37507	11030.13394	12382.174	10052.99085	11413.56065
CASP14	44598.88689	36196.45205	28472.78582	29599.7101	16891.59499	26189.19155	39381.68798	16128.42464	23799.15334	12209.05028
PDE6C	14000.66724	11973.94929	13428.90945	11404.74309	9696.100955	8677.667256	6081.204915	7159.44567	10495.33131	7171.652541
RAB23	34187.87646	31545.47714	32235.59362	32511.7403	18102.45259	18309.72642	19090.84754	18947.04147	21276.43498	20130.57909
QPRT	85069.33736	82628.06274	64285.55796	60696.41131	43006.18846	39808.17878	40053.16838	42656.74642	44214.91861	44496.35128
SLC4A4	14742.81772	12757.38304	12759.47311	11115.42201	6978.578132	7510.321582	7140.52919	7588.700185	8946.508356	6275.709732
RNF138	20410.43792	13393.1009	19174.64131	14723.94188	16740.85298	11774.98149	14496.74059	7086.770137	11709.62594	8529.219755
S100A9	65004.53263	77630.8957	54324.58733	51830.30704	32505.17264	45538.73054	55079.42591	37984.782	38507.19449	29725.3952
TMEM87B	64007.13555	64806.41718	83762.98727	70837.31588	50070.7383	46321.92428	46916.80691	44761.28306	42278.30274	43389.84251
NFATC4	10328.84399	9527.886128	9408.808952	9242.971589	9698.387791	9263.446413	9162.180897	9567.515502	9144.446495	10580.19302
ALDOC	1523429.476	1527444.924	1192483.369	1163249.162	902204.6928	874838.9961	867710.8106	874032.9378	870348.0576	860016.0341
STARD3NL	19737.0766	18441.24902	19268.01692	17842.47226	12274.90655	10364.58178	11998.48377	11301.61119	13107.22707	11293.17012
LSAMP	41917.4198	45300.19148	38308.4393	44012.36478	28105.78369	29653.39256	27707.64408	30985.27139	26871.09612	30358.92852
EPHA3	24629.99806	26986.13708	38937.44301	30498.61306	24181.21056	22646.85154	22879.26785	21902.59668	21466.96621	22134.81615
CLK3	34678.86717	43401.75363	26176.79238	32951.40657	17552.7951	22784.49432	20396.52578	22256.65347	17875.64979	22132.84888
CEBPE	28733.8856	32662.601	20053.22717	21636.57749	16200.16446	16317.75184	15626.96962	17282.43237	16053.32095	18066.1098
SDK2	23143.82265	12641.30009	12587.0592	12449.73864	8726.029379	12728.51456	15375.41588	8016.193648	11332.80106	5361.025989
HMGCL	65656.75739	67321.14334	51492.20635	53743.1332	37415.14477	37544.82903	37158.83658	37890.39122	36136.78893	36881.71897
THEMIS	133666.4332	134519.5952	116960.5404	122075.2446	79246.93004	81398.58158	81419.53795	81581.22645	78959.87455	81330.59636
CYP51A1	19234.05591	13017.16224	15060.68312	10305.303	10182.59584	7244.578699	10631.47283	7471.746837	11427.03388	7470.232997
NID1	156657.5437	124870.9021	82863.26837	101081.8794	65933.47464	75923.32413	70992.57126	66949.26385	68222.3252	78995.85852
FDFT1	172532.896	176683.5163	142963.4068	143071.9953	96295.84019	100405.4759	98746.86986	101188.5163	96961.16121	97047.3514
IGHG1	16615.99164	17281.7242	11620.38981	14526.83207	6589.825721	12594.98127	15090.18874	7380.112916	7921.569341	6559.966059
FBXW12	46987.52581	45281.86913	40300.8693	35885.09129	25907.97714	25737.35467	30552.16105	26440.68239	30996.11171	30124.07121
GNA15	77497.45412	69143.55295	59970.92781	57187.42094	39453.0081	38885.21785	41179.12168	40513.83077	43128.84194	41508.52796
TMEM135	10222.43474	9650.695111	12288.89197	9840.36794	6282.340563	6153.728068	6603.149943	6891.401337	7000.081323	6610.832734
MSMO1	37543.16547	33086.41056	24766.78952	22606.6667	19121.7387	16378.9411	17564.4621	16182.75536	19298.81429	14879.05927
CDS2	44195.85114	44163.6902	33677.60492	38148.87312	24002.96338	26853.20422	23348.37579	26847.66237	25042.5339	24808.81957
AK4	164752.681	159887.358	137141.605	131524.0978	112813.1641	107560.9146	112097.2631	108011.4496	112094.6285	109663.0918
KRT1	758594.4324	561327.7214	535264.5849	421939.9654	315084.2825	374796.7849	703393.2131	254552.6447	396204.5137	221794.5229
FBXO38	51728.69127	54784.59583	47693.9397	50136.8127	32039.20249	33898.53909	32780.9899	33431.58833	30569.54476	32692.41694
RASGRP1	31105.92419	31113.54323	27932.00246	29116.21141	17613.51548	18976.90776	16170.31119	18937.56609	19015.95801	19880.55747
DFNA5	19385.21096	19614.64637	16801.3974	18062.15882	15121.84385	12061.44016	14105.23751	13243.41418	13186.32878	13689.77587
ABAT	17558.52169	18275.55208	17521.56212	18848.06226	12063.43702	12478.36752	11868.8376	10680.69181	12307.14572	12173.62824
EPG5	12587.30517	11510.96826	10409.85657	8912.956738	6519.655358	5802.299288	6410.33042	6464.052168	7592.708604	6242.326719
POF1B	21043.51959	39549.93655	11507.46397	26732.4473	12895.43794	19613.64036	21700.71201	12688.70054	12413.07095	8984.5895
PTPRF	27392.13539	28871.49247	21226.83364	23673.81818	15595.30835	16364.54677	16989.19685	17747.09334	16436.03148	16959.33247
EGLN1	182514.2074	175070.2962	154313.3023	136987.3245	110435.0868	103755.7696	112355.694	105031.6039	108948.4953	110303.7514
UBA3	92134.5012	86745.80632	81367.02285	79471.46826	56440.66502	53278.11216	55041.52072	52165.69576	54099.56145	54521.1486
ALAS1	31316.55436	35081.09141	24271.60899	27206.82767	19061.70153	22081.90438	19885.51697	20626.91547	18546.54098	20981.09524
KDM5D	49822.86811	52152.8833	47549.34497	47829.31755	32647.24735	33760.34756	32269.79735	34669.14096	32817.25795	35755.89284
DAB2IP	21488.04704	21391.00212	18708.49208	20079.52033	12210.22558	11639.33637	11541.45408	10722.97947	13678.16617	11562.9176
ACSL6	16105.2112	14321.31982	14292.73214	13550.96099	9686.493113	9199.35227	10557.95374	9657.807087	10513.93933	11098.279
MCM9	18129.03553	12374.6106	14641.21715	15983.03004	8724.337046	7890.840673	9201.596475	13003.99572	10386.22867	10354.38667
MLLT4	27834.2137	29894.5492	28941.63615	28216.81693	20196.93672	19170.15088	20015.86473	20650.61539	19854.09413	21781.04445
FAM162A	180326.7126	189524.627	150625.1874	150695.7196	107864.3246	111237.7857	109033.5475	122295.2931	114596.0579	115511.2003
KDM4C	37306.33888	36119.70737	29365.23782	28379.84973	20997.17642	19788.4894	22258.88413	22938.60464	23870.61317	20921.55645
CCNA2	68772.76439	61878.53424	54137.50132	45133.84637	33461.91991	32829.63306	35573.41809	33968.22352	36771.49511	35016.46302
AEBP1	21430.39564	20750.39186	19300.7604	17926.38119	12603.43191	12870.00112	12973.61249	11909.26126	12096.34087	12905.66305
SERPINB12	34252.33277	34326.82185	24662.89631	25147.48551	16819.2241	22288.39493	30645.90287	15917.52949	19485.2487	14377.91214
PJA2	12057.25354	17042.6429	9821.557754	13680.58383	6774.388849	10229.44182	7582.789321	10244.82867	7358.547617	9661.9614
NOTCH2	12296.63451	13671.81758	12139.0007	9360.306929	6905.346962	7087.720638	7388.789291	7605.320636	8093.959122	7404.483814
IGHG2	13616.40826	16535.765	9428.076252	10975.92211	6665.820945	8369.700418	14106.71506	7196.416796	7608.22422	6848.492923
MTMR12	14764.46966	20599.90854	12688.65509	17716.61015	10043.60966	11771.97439	9513.266055	13156.23736	9101.757465	12689.0482
MADD	30496.20594	32762.69535	28971.5702	30127.57669	22305.25948	23872.15534	23206.44053	26274.03795	24260.00517	25116.63465
LMO3	34786.01664	34202.17771	27101.59263	29171.25486	22305.58276	21004.57066	19977.98272	19497.66463	22398.15027	19499.50147
ARHGAP19	28288.39317	28331.39368	25792.835	25926.12742	17424.92617	15853.87481	15785.19979	17975.1191	17098.63579	17920.98362
MPLKIP	29517.82761	36975.66144	19790.24507	27999.75072	16462.72158	19410.65181	17234.26991	20822.16294	15778.83167	19299.42678
SERPINB3	31314.93318	30470.80693	21946.44307	21807.44676	14143.32673	19297.40245	27599.82419	15599.77012	19113.39503	10771.70741
LTF	14587.21708	16918.77157	10402.9963	13789.96311	9303.060545	10172.3893	11060.68044	8898.270729	9203.74069	8870.236927
ARG1	23545.16777	23158.93662	18308.64995	22580.63454	12919.24744	15963.73843	22270.51469	11387.11677	16110.51236	10004.25784
LMO1	28006.25394	20643.52705	21573.17699	18250.61329	16162.78521	13025.44796	15943.0175	11360.12756	17386.58391	12997.42732
TMSB15A	58872.90598	52800.49376	62410.61765	48629.96477	47468.20133	28498.37307	41942.7577	33942.5344	47353.77272	40568.08311
PVRL1	18811.4062	20630.91622	14169.01783	17268.04996	11147.31241	12660.40733	10739.32352	12915.58005	11607.21903	12095.7483
LSS	153179.958	151399.847	118761.8052	119809.492	87055.31918	84795.74288	85782.53843	88431.52605	88499.5735	86811.44781
RDH11	100451.917	80441.99409	104256.827	84893.30664	60245.88351	52129.07342	66537.26215	54534.90679	66982.62496	56273.98068
KIAA1211	13714.66415	16200.1283	11464.9417	13068.17784	9247.002778	10746.43462	8678.339817	10672.77971	9141.033485	10908.75173
DSG1	55983.29774	51954.8414	33853.86153	35794.89871	24900.30928	32125.6198	43635.79837	24638.42638	32653.35053	21045.00287
LRMP	157085.4704	202212.3526	173763.1413	225822.5756	95409.18329	98124.16152	142465.6658	167615.8162	141050.4405	143090.1137
SELL	52610.9169	49404.58958	54926.42737	57251.91349	34966.93056	32001.92379	33349.20362	33855.76128	35508.00355	37238.15811
XP32	22658.88812	25000.62881	17650.85625	19732.79488	12134.93592	19498.6666	21120.73341	12418.25721	12716.71143	10383.41046
ALDH2	40637.87958	66044.02678	33898.12899	38988.95281	31399.89823	31658.69809	19509.61158	16595.38876	26142.48011	20559.60699
GOLGA5	22088.86202	24063.07104	19949.36496	21005.77858	14150.54651	14940.45057	14455.65646	14579.72171	13646.92529	14189.75138
SLC6A15	24522.91848	23338.38599	15562.36778	18185.27456	14532.72133	14590.88726	13822.63987	14961.81817	11855.5336	15694.28293
IVNS1ABP	58091.34171	45090.32925	47047.97011	36498.55417	32866.32239	26877.04424	33666.95548	26484.88429	34490.00203	29087.62103
ASPH	34927.43166	32434.45636	32608.20012	29468.32568	25946.62489	24434.65172	25930.00774	23304.32823	25509.90259	24025.98453
SUMO2	2191129.979	2032969.383	2025103.896	1944343.767	1385638.175	1301298.791	1391882.849	1306177.57	1430541.518	1306735.581
ABCB4	161754.5448	158944.809	192693.7336	142203.6001	135145.3971	110066.5277	123471.5494	100698.3659	137306.4159	110725.1079
VAMP7	85856.90567	66680.13247	77879.8423	58317.23882	51145.48788	38958.55911	49454.12637	38994.25043	53883.56492	40283.76809
NPC1	50286.02579	50044.23441	45750.26379	43619.68505	33280.333	31620.21247	33566.24424	31377.76995	32386.60227	31355.76608
KDM5C	50919.82591	50830.14495	45221.7798	45211.88354	33605.05195	32494.88133	33395.30732	35255.12239	34465.98901	35118.28076
SERPINB2	19529.08056	15670.56682	24929.45784	19665.9845	15783.98124	12249.96239	15108.62952	13656.28341	16776.69042	13299.67489
GLUL	175221.4041	149014.1585	105184.5401	100679.6318	79941.0908	68853.54009	78184.87311	70850.71541	86421.3474	71898.20761
ITM2A	22320.62517	25163.15966	22096.11752	24304.33292	16955.63706	19281.39134	16169.10226	18762.54958	15818.39046	17834.40444
DSP	147623.8579	139745.3793	80989.28058	93344.30849	65218.48916	82485.56171	117872.4188	61946.8972	80671.26927	54345.18415
EDEM1	26165.66405	23353.45206	35170.74324	33478.72577	19518.19037	20566.95683	19156.23972	21853.48428	18418.43386	20147.49434
CEP128	13470.39509	14730.15727	12853.20555	13275.30346	7790.590052	9801.890661	8384.55633	8663.025645	8019.537174	9669.801936
CCDC181	66195.94187	74926.20948	64269.18608	73624.48133	53476.98174	45587.78592	53747.30139	52355.21869	49518.9974	49591.80939
SLC4A7	84264.30386	76188.64531	70418.14427	71214.40163	49546.15174	47345.18923	49927.56833	50951.27789	51378.52697	54604.09921
JUP	66281.87067	74337.64788	41132.0655	49404.82796	33178.56858	41582.15166	57116.34481	33735.46891	38602.19851	29582.76929
BPIFB1	18892.62984	29410.17765	13853.38356	22960.67517	13938.99671	12563.12764	27597.66767	9389.287747	13148.08089	13083.78045
NDUFV3	68486.33619	70037.09726	66960.9017	70525.39334	60697.6186	61138.40791	62189.31738	59391.86811	61555.17563	58247.0249
GRPEL2	40830.23783	44799.06616	32146.07305	34461.69763	25969.60877	27266.80705	26034.31163	28325.28018	26471.57673	27196.14588
PIK3C2A	27618.88295	25154.64462	25699.41311	24618.47907	16651.38838	15815.76506	17686.11633	16180.99376	17414.7412	16514.89843
SIDT2	17184.58834	14606.55637	14163.91652	13695.4768	11783.40442	11128.50275	11654.3812	9220.351012	9807.835644	10218.75216
SUMO3	1362484.63	1263179.417	1251898.339	1210523.423	869287.7024	819529.1802	880544.627	822818.0971	898034.1901	832594.0955
LYZ	62756.16704	120967.7645	49305.7897	120585.9213	61136.42304	68244.33046	82294.52212	40625.21329	50823.61362	41444.97266
SERPINB10	33272.61115	21442.66563	38039.41672	28951.54067	25889.44174	16460.28892	25108.92916	16373.99264	29654.25182	17148.28264
BAX	11314.0002	14735.38535	11875.41718	14188.61246	9536.278625	10067.40648	8047.381108	11085.92572	8338.179823	10616.13225
SDHAF4	43244.26851	40311.9778	30880.92817	30427.56529	25295.59137	21015.97153	21418.41076	21504.59609	24456.50563	21686.53135
NAV2	108515.6618	101082.6436	99735.62605	65642.18536	67979.49376	67990.22122	72346.50105	55837.60087	80229.69448	55658.9651
SCRN1	144899.7591	159268.8256	126712.6981	136143.0266	97690.05169	101514.0298	93979.51098	99518.07327	96671.33977	99693.58402
MDM4	26746.66181	40694.15439	22931.28466	33763.72124	20520.36912	25264.67712	21239.37391	24415.02001	17613.11253	22011.33431
DKFZp686B01123	26746.66181	40694.15439	22931.28466	33763.72124	20520.36912	25264.67712	21239.37391	24415.02001	17613.11253	22011.33431
EPN2	17488.40012	12916.45616	12803.103	13745.31067	9828.644178	9667.670452	10053.02328	9028.637835	10398.52814	9859.841815
SCD	25239.15939	22377.2513	27304.62751	21739.12672	17564.92715	16874.48849	18000.04777	19090.44835	16288.87778	15107.03217
HSDL1	58366.52887	68660.78051	60826.74828	68111.35242	38433.93204	44861.89066	41475.11804	50908.57289	40738.32728	49466.59616
DSC1	15675.27092	13573.98346	9345.327325	11590.83825	7252.75479	8870.016023	13210.05953	7138.686748	8791.172565	6646.954543
EML2	91543.36468	103373.5321	62243.42951	68889.55317	52586.29856	56814.59777	48318.31575	57001.36627	50014.63765	55206.25134
MPHOSPH9	22426.13604	21473.69319	16595.42869	16343.83746	12273.07158	13475.6958	15060.24347	12647.47727	12187.16221	12845.05823
TNKS2	31047.11338	33451.61686	19512.38626	19533.7427	15604.04083	16966.95362	15892.27627	15019.72833	16634.88927	17106.82277
CLEC11A	39053.2641	40869.24621	16827.67904	17542.59181	14950.34379	15883.92124	15439.01744	15810.03931	15713.25156	15780.54287
HK2	162771.8487	167432.6658	165476.5524	168712.0828	122966.1953	123362.9937	118865.4614	127002.9492	122249.6148	127328.3111
ITPR2	79394.53311	76665.35678	79939.23525	77395.97533	53618.05727	54101.96881	56030.51966	56862.19099	56378.79052	53479.00046
NDUFA6	51289.8149	43545.59469	61673.49739	47763.54466	35588.35214	32040.39103	40210.18825	33288.82378	40739.71312	32990.14848
TYSND1	23323.01783	24885.00679	24586.26894	24019.01957	17137.6969	17036.78428	17176.1393	14614.98623	16713.85508	18295.30265
SERINC5	41473.76272	41495.8395	39499.14637	36298.37581	29889.49245	27673.22015	30146.02845	27206.24576	28007.02854	30973.60179
ACY1	37696.8428	42670.60034	34244.83228	38020.62002	26761.96399	28937.88843	25265.03232	27448.8081	26317.40165	29748.85817
MYL3	23383.76513	28856.68447	17604.65137	27060.30021	17642.10069	21392.10634	16964.30814	21536.32937	15242.20318	19597.76683
KPRP	44444.82012	59964.61207	32402.56939	39680.96363	27675.53806	29271.10715	42990.98699	28579.27501	32506.96453	22498.838
MGAT1	17293.00334	15669.02785	16557.08587	18540.30983	12777.65411	11987.63384	11817.37724	13319.00207	11925.84143	13236.11624
DSC3	10003.01795	9051.868693	6359.819192	6993.742355	5312.862691	5536.733407	7379.304244	4721.612586	6901.900025	4380.024165
MUTYH	19557.3129	13806.04463	17556.47973	18311.53123	11106.35626	10298.29037	13032.57171	13569.025	13507.31582	11861.77552
UBR3	18268.82844	14496.22828	22870.30013	19449.72862	14803.38581	8595.286301	14154.77352	11240.13312	15459.4015	12240.46262
TGM3	23927.03698	24813.47862	17304.92524	19616.70216	13657.20918	18132.00586	22011.41614	14359.85005	14493.24941	10020.11093
MYOM1	57143.27681	62608.92087	52975.03053	53222.11474	45664.05811	42849.36002	41427.83594	41890.16158	37549.13008	46012.42821
ITGA6	13315.32568	16924.02387	17451.7023	22138.42214	12233.3898	16047.6098	11024.63825	14341.00383	10221.18929	15657.08066
GALNT6	13866.44466	12922.82381	14897.26882	15308.74821	10464.38884	10790.56327	8552.025181	8963.898102	10552.26948	10376.41517
APBA2	29436.4881	28657.85955	32036.17007	33406.69697	20676.81871	23418.99905	22754.84219	24494.39252	22173.7983	23918.07754
TMEM120A	15669.70675	13091.42375	11105.50976	11995.81111	8727.569062	9113.047824	9108.212265	10617.61881	8241.555843	9081.450495
CD1C	32485.12521	32082.9308	40019.21741	32582.85746	24913.17467	23256.47245	23866.62954	19618.02975	24977.07114	23196.53536
TRIM27	22503.55242	23709.85295	25579.31714	24512.84536	16812.54996	16267.5506	16956.20404	17196.54695	16511.66612	15608.23399
GGA2	36902.22602	34203.36481	29736.58391	29811.22276	22261.83665	22378.30671	23359.12853	23235.02156	22701.21346	23836.30856
